Personnages,Faction
Empereur Paul « Muad’Dib »Atréides – Usul,Fremen
Révérente Mère Gauis Helen Mohiam,Bene Gesserit
Dame Jessica Atréides,Bene Gesserit
Thufir Hawat,Atréides
Duc Leto Atréides,Atréides
Baron Vladimir Harkonnen,Harkonnen
Piter de Vries,Harkonnen
Feyd-Rautha Harkonnen,Harkonnen
Dr Wellington Yueh,Suk
Comte Fenring,Corino
Margot Dame Fenring,Corino
Duncan Idahho,Bene Gesserit
Gurney Halleck,Contrebandier
Rabban « La Bête » Harkonnen,Harkonnen
Soeur de Gurney Halleck,Atréides
Mère de Gurney Halleck,Atréides
Wanna Yueh,Suk
Empereur Padishah Corino «  Shaddam IV »,Corino
Princesse Irulan Corino,Corino
Shadout Mapes,Fremen
Vieux Duc Atréides,Atréides
Lieutenant de Thufir Hawat,Atréides
Liet-Kynes,Fremen
Stilgar,Fremen
Pardee,Fremen
Homme de Dune,Fremen
Servante,Atréides
Lingar Bewt,Contrebandier
Esmar Tuek,Contrebandier
Banquier de la Guilde,Guilde
Kinet,Harkonnen
Czigo,Harkonnen
Colonel Bashar,Corino
Umman Kudu,Fremen
Iakin Nefud,Fremen
Homme en Robe,Fremen
Shamir,Fremen
Staban Tuek,Fremen
Drisq,Fremen
Mattai,Fremen
Père de Liet-Kynes,Fremen
Jamis,Fremen
Chani,Fremen
Larrus,Fremen
Farrukh,Fremen
Lemil,Fremen
Farok,Fremen
Shimoom,Fremen
Gladiateur-Esclave Atréides,Atréides
Harah,Fremen
Geoff,Fremen
Révérende Mère Ramallo,Fremen
Kaleff,Fremen
Orlop,Fremen
Leto II Atréides (premier),Atréides
Alia « l’Etrange » Atréides,Atréides
Chatt le Sauteur,Fremen
Shishakli,Fremen
Subiay,Fremen
Tharthar,Fremen
Shoab,Fremen
Capitaine de la chenille,Atréides
Korba,Fremen
Capitaine Aramsham,Corino
Otheym,Fremen
Maître Scytale,Bene Tleilax
Edric,Guilde
Hayt,Bene Tleilax
Beris,Fremen
Bijaz,Fremen
Fils de Farok,Fremen
Lichna d'Otheym,Fremen
Banerjee,Fremen
Dhuri,Fremen
Elpa,Fremen
Rajifiri,Fremen
Saajd,Fremen
Tecrube,Fremen
Bikouros,Fremen
Cahueit,Fremen
Djedida,Fremen
Abumojandis,Fremen
Tandis,Fremen
Empereur Leto II Atréides (second),Sentier d’Or
Ghanima Atréides,Sentier d’Or
Namri,Fremen
Sabiha,Fremen
Le Levenbrech,Corino
Farad'n Corino,Corino
Javid,Corino
Zebataleph,Fremen
Le Prêcheur,Fremen
Gabriel,Fremen
Assan Tariq,Fremen
Tyekanik,Corino
Princesse Wensicia Corino,Corino
Essas Paymon,Contrebandier
Ovide,Fremen
John Bartlett,Guilde
Ziarenka,Fremen
Buer Agraves,Fremen
Valefor,Fremen
Muriz,Fremen
Tanidia Nerus,Fremen
Tagir Mohandis,Fremen
Gadhean al-Fali,Fremen
Dalak,Fremen
Palimbasha,Corino
Sennacherib,Corino
Kaza,Fremen
Ziamad,Fremen
Kausar,Fremen
Abedi Jalal,Fremen
Yakup Abad,Fremen
Harum,Fremen
Melides,Fremen
Modibo,Fremen
Shalus,Fremen
Rajia,Fremen
Siona Atréides,Rebelle
Moneo Atréides,Sentier d’Or
Malky,Rebelle
Hwi Noree,Ix
Nayla,Truitesse
Topri,Truitesse
Duro Nunepi,Truitesse
Inemir,Truitesse
Révérende Mère Eileen Anteac,Bene Gesserit
Marcus Claire Luyseyal,Bene Gesserit
Faroula,Rebelle
Rebeth Vreeb,Rebelle
Ulot,Rebelle
Kwuteg,Rebelle
Rodi,Rebelle
Setuse,Rebelle
Imineg,Rebelle
Onemao,Rebelle
Hutye,Rebelle
Memar,Rebelle
Oala,Rebelle
Jacob Broom,Aucune
Harq al-Ada,Fremen
Amica,Truitesse
Luli,Truitesse
Teishar,Fremen
Garun de Tuono,Fremen
Iyo Kobat,Ix
Anouk,Rebelle
Taw,Rebelle
Inquisiteur,Sentier d’Or
Soeur Chenoeh,Bene Gesserit
Soeur Tawsuoko,Bene Gesserit
Soeur Ikonicre,Bene Gesserit
Révérende Mère Syaksa,Bene Gesserit
Révérende Mère Yitob,Bene Gesserit
Révérende Mère Mamulut,Bene Gesserit
Révérende Mère Eknekosk,Bene Gesserit
Révérende Mère Akeli,Bene Gesserit
Otwhi Yake,Ix
Norma Cenva,Guilde
Aurelius Venport,Guilde
Irti,Truitesse
Noah Arkwright,Guilde
Ampré,Truitesse
Nishae « Iylyo »,Truitesse
Mère Supérieur Alma Mavis Taraza,Bene Gesserit
Révérende Mère Schwangyu,Bene Gesserit
Révérende Mère Lucille,Bene Gesserit
Mère Supérieure Darwi Odrade,Bene Gesserit
Révérende Mère Bellonda,Bene Gesserit
Révérende Mère Tamalane,Bene Gesserit
Révérende Mère Luran Geasa,Bene Gesserit
Révérende Mère Janet Roxbrough,Bene Gesserit
Soeur Baram,Bene Gesserit
Acolyte Kipuna,Bene Gesserit
Bashar Miles Teg,Bene Gesserit
Patrin,Bene Gesserit
Bashar Burzmali,Bene Gesserit
Révérende Mère Sheeana Brough,Bene Gesserit
Grand Prêtre Hedley Tuek,Prêtre de Rakis
Prêtre Stiros,Prêtre de Rakis
Prêtre Umprhud,Prêtre de Rakis
Prêtre Dromind,Prêtre de Rakis
Prêtre Baldik,Prêtre de Rakis
Prêtre Albertus,Prêtre de Rakis
Prêtre Tulushan,Prêtre de Rakis
Prêtresse Cania,Prêtre de Rakis
Prêtresse Alhosa,Prêtre de Rakis
Maitre Tylwyth Waff,Bene Tleilax
Maitre Mirlat,Bene Tleilax
Maitre Torg le Jeune,Bene Tleilax
Wose,Bene Tleilax
Ledden Pook,Bene Tleilax
Sibia,Bene Gesserit
Firus,Bene Gesserit
Dimcla,Bene Gesserit
Martin,Bene Gesserit
Loshy Teg,CHOM
Sabin,Bene Gesserit
Honorée Matriarche,Honorés Matriarches
Murbella,Bene Gesserit
Mater,Honorés Matriarches
Yar,Honorés Matriarches
Carlana,Honorés Matriarches
Muzzafar,Honorés Matriarches
Jafa,Honorés Matriarches
Solitz,Honorés Matriarches
Dimela Teg,Bene Gesserit
Sirafa,Bene Gesserit
Ambitorm « Tormsa »,Bene Gesserit
Professeur Delnay,Bene Gesserit
Révérende Mère Sheeana Brough,Bene Gesserit
Révérende Mère Dortujla,Bene Gesserit
Révérende Mère Tsimpay,Bene Gesserit
Révérende Mère Fali,Bene Gesserit
Révérende Mère Fintil,Bene Gesserit
Révérende Mère Jalanto,Bene Gesserit
Révérende Mère Perinte,Bene Gesserit
Rectrices Praska,Bene Gesserit
Rectrice Garimi,Bene Gesserit
Acolyte Aloana Streggi,Bene Gesserit
Acolyte Linchine,Bene Gesserit
Acolyte Suipol,Bene Gesserit
Acolyte Walli,Bene Gesserit
Très Honorée Matriarche Dama « Reine-Araignée »,Honorés Matriarches
Honorée Matriache Logno,Honorés Matriarches
Patronesse Elpek,Honorés Matriarches
Angelika,Honorés Matriarches
Rabbi,Israêl Secrête
Rébecca,Israêl Secrête
Sholem,Israêl Secrête
Joshua,Israêl Secrête
Roîtiro,Aucune
Yorgi,Aucune
Prester,Bene Gesserit
Duana,Bene Gesserit
Marty,???
Daniel,???
Placido Salat,Bene Gesserit
Clairby,Bene Gesserit
Tribo,Bene Gesserit
Haker,Bene Gesserit
Hakka,Bene Gesserit
