Personnage,PlaceTrain
Curtis,2nde
Namgoong Minsoo,2nde
Wilford,1ere
Gillam,2nde
Mason,2nde
Edgar,2nde
Tanya,2nde
Andrew,2nde
Yona,2nde
Grey,2nde
Claude,1ere
Fuyu,1ere
Peintre,2nde
Tim,2nde
Paul,2nde
Gerald,2nde
Doris,2nde
Soldat1,1ere
Soldat2,1ere
Femme officier,1ere
Chan,2nde
tueur,1ere
Andy,2nde
Soldats homme de main,1ere
foule 2nd classe,2nde
passagers 2nd classe,2nde
foule 1ere classe,1ere
passager 1e classe,1ere
garde,1ere
armee,1ere
cultivateurs,1ere
maitre sushi,1ere
maitresse,1ere
enfants,1ere
Les 7,2nde
monsieur Å“ufs,1ere
metiers service,1ere
operateurs,1ere
